                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.33261,                 1.2618,                 1.0375,                0.92258,                      1,                  0.995,                  0.995,                 0.1916,                 1.5737,                0.30322,             0.00068926,             0.00068926,             0.00068926
                     37,                0.33322,                 1.2484,                 1.0861,                0.94739,                      1,                  0.995,                  0.995,                0.17837,                 1.4472,                 0.2864,             0.00068855,             0.00068855,             0.00068855
                     38,                0.33234,                 1.2064,                  1.042,                 0.9613,                      1,                  0.995,                  0.995,                0.25405,                 1.0173,                0.37658,             0.00068785,             0.00068785,             0.00068785
                     39,                0.38535,                 1.5094,                 1.1106,                0.96359,                      1,                  0.995,                  0.995,                0.33692,                0.58151,                0.49506,             0.00068714,             0.00068714,             0.00068714
                     40,                0.33057,                 1.1423,                 1.0103,                0.96888,                      1,                  0.995,                  0.995,                0.35117,                0.55233,                0.52506,             0.00068643,             0.00068643,             0.00068643
                     41,                0.31943,                 1.2771,                 1.0595,                0.96247,                      1,                  0.995,                  0.995,                0.31038,                 0.6225,                0.46267,             0.00068573,             0.00068573,             0.00068573
                     42,                0.41524,                 1.6931,                 1.1187,                0.96303,                      1,                  0.995,                  0.995,                0.27931,                 0.8271,                 0.4219,             0.00068502,             0.00068502,             0.00068502
                     43,                0.35218,                 1.3935,                 1.0686,                0.95795,                      1,                  0.995,                  0.995,                0.25975,                0.94006,                0.39492,             0.00068431,             0.00068431,             0.00068431
                     44,                0.31757,                 1.2183,                 1.0148,                0.95651,                      1,                  0.995,                  0.995,                0.22453,                 1.1162,                0.37869,             0.00068361,             0.00068361,             0.00068361
                     45,                0.28689,                 1.1302,                  1.021,                0.95407,                      1,                  0.995,                  0.995,                0.19336,                 1.1978,                 0.3895,              0.0006829,              0.0006829,              0.0006829
                     46,                 0.3284,                 1.0555,                 1.0369,                0.95831,                      1,                  0.995,                  0.995,                0.21009,                 1.0274,                0.42765,             0.00068219,             0.00068219,             0.00068219
                     47,                0.36582,                 1.2039,                 1.1039,                0.95098,                      1,                  0.995,                0.96183,                0.21546,                0.92107,                0.43863,             0.00068148,             0.00068148,             0.00068148
                     48,                0.30174,                 1.0165,                 1.0344,                 0.9408,                      1,                  0.995,                0.92867,                0.25449,                 1.1834,                0.43083,             0.00068078,             0.00068078,             0.00068078
                     49,                0.30813,                0.97174,                  1.065,                 0.9229,                      1,                  0.995,                0.92867,                0.31166,                0.75392,                0.48703,             0.00068007,             0.00068007,             0.00068007
                     50,                0.35488,                 1.0698,                 1.0546,                0.90241,                      1,                  0.995,                0.96183,                0.35318,                0.63565,                0.52727,             0.00067936,             0.00067936,             0.00067936
                     51,                0.40575,                 1.1391,                 1.1437,                0.93054,                      1,                  0.995,                0.92867,                0.36699,                0.71591,                0.53658,             0.00067866,             0.00067866,             0.00067866
                     52,                 0.4079,                 1.0893,                 1.1843,                0.94988,                      1,                  0.995,                0.96183,                0.38606,                0.77988,                0.55135,             0.00067795,             0.00067795,             0.00067795
                     53,                0.29644,                 1.1605,                  1.025,                0.89499,                      1,                  0.995,                0.96183,                0.29145,                0.78096,                0.45265,             0.00067724,             0.00067724,             0.00067724
                     54,                0.35544,                 1.0247,                 1.0882,                0.88031,                      1,                  0.995,                  0.995,                0.26129,                0.78228,                0.40714,             0.00067654,             0.00067654,             0.00067654
                     55,                 0.3353,                 1.1185,                 1.0535,                0.91985,                      1,                  0.995,                  0.995,                0.24705,                 0.7305,                0.39532,             0.00067583,             0.00067583,             0.00067583
                     56,                 0.3128,                 1.0547,                 1.0231,                0.85159,                      1,                  0.995,                0.96183,                0.28625,                0.60536,                0.45859,             0.00067512,             0.00067512,             0.00067512
                     57,                0.37247,                 1.0903,                 1.1467,                0.89948,                      1,                  0.995,                0.92867,                0.42153,                0.63243,                0.61734,             0.00067442,             0.00067442,             0.00067442
                     58,                 0.3525,                 1.0257,                 1.0983,                0.85573,                      1,                  0.995,                 0.8955,                0.48982,                0.65775,                0.67311,             0.00067371,             0.00067371,             0.00067371
                     59,                0.31421,                 1.1367,                   1.02,                0.89709,                      1,                  0.995,                0.86233,                0.52229,                0.63353,                0.66369,               0.000673,               0.000673,               0.000673
                     60,                0.32697,                0.94181,                 1.0568,                0.94315,                      1,                  0.995,                0.87339,                0.46711,                0.75152,                0.57312,              0.0006723,              0.0006723,              0.0006723
                     61,                0.24675,                0.78935,                0.96227,                0.88644,                      1,                  0.995,                 0.8955,                0.41949,                 0.9519,                0.49622,             0.00067159,             0.00067159,             0.00067159
                     62,                0.30434,                 0.9284,                  1.059,                0.83926,                      1,                  0.995,                  0.995,                0.28312,                0.78813,                0.43047,             0.00067088,             0.00067088,             0.00067088
                     63,                0.30091,                0.87862,                 1.0355,                0.74696,                      1,                  0.995,                  0.995,                0.23071,                0.76311,                0.42395,             0.00067017,             0.00067017,             0.00067017
                     64,                0.29629,                0.94386,                 1.0504,                0.81103,                      1,                  0.995,                  0.995,                0.25863,                0.52585,                0.48508,             0.00066947,             0.00066947,             0.00066947
                     65,                0.30931,                 0.8344,                  1.049,                0.90825,                      1,                  0.995,                0.96183,                0.27615,                0.58523,                0.50702,             0.00066876,             0.00066876,             0.00066876
                     66,                0.27661,                0.89499,                0.99569,                0.87954,                      1,                  0.995,                0.92867,                 0.2767,                0.61292,                0.49532,             0.00066805,             0.00066805,             0.00066805
                     67,                0.29369,                0.89482,                 1.0417,                0.90549,                      1,                  0.995,                0.96183,                0.29848,                0.56827,                0.49974,             0.00066735,             0.00066735,             0.00066735
                     68,                0.30754,                 1.0334,                 1.0219,                0.94599,                      1,                  0.995,                0.96183,                0.30788,                0.51731,                0.50744,             0.00066664,             0.00066664,             0.00066664
                     69,                0.29617,                0.89047,                 1.0481,                0.96658,                      1,                  0.995,                0.92867,                 0.3314,                0.49888,                 0.5306,             0.00066593,             0.00066593,             0.00066593
                     70,                0.28013,                0.92486,                 0.9643,                0.96999,                      1,                  0.995,                0.96183,                0.29167,                0.53637,                0.46124,             0.00066523,             0.00066523,             0.00066523
                     71,                0.31707,                 1.1342,                  1.093,                0.97232,                      1,                  0.995,                  0.995,                0.23152,                0.65382,                0.39148,             0.00066452,             0.00066452,             0.00066452
                     72,                0.25451,                  0.882,                 1.0144,                0.97368,                      1,                  0.995,                  0.995,                0.23303,                0.64022,                0.39674,             0.00066381,             0.00066381,             0.00066381
                     73,                0.28369,                0.87965,                0.98792,                0.97376,                      1,                  0.995,                  0.995,                0.30564,                0.43762,                0.47886,             0.00066311,             0.00066311,             0.00066311
                     74,                0.29907,                 1.0572,                 1.0304,                 0.9723,                      1,                  0.995,                  0.995,                0.34408,                0.40763,                0.53493,              0.0006624,              0.0006624,              0.0006624
                     75,                0.23156,                0.88517,                0.98261,                0.96723,                      1,                  0.995,                0.96183,                0.32887,                0.40244,                0.50556,             0.00066169,             0.00066169,             0.00066169
                     76,                0.24628,                0.77757,                0.97408,                0.95829,                      1,                  0.995,                  0.995,                0.27493,                0.45604,                0.42265,             0.00066099,             0.00066099,             0.00066099
                     77,                0.30932,                 1.0465,                  1.042,                0.97107,                      1,                  0.995,                  0.995,                0.25936,                 0.4135,                 0.4036,             0.00066028,             0.00066028,             0.00066028
                     78,                0.26138,                0.82007,                0.97289,                0.97398,                      1,                  0.995,                  0.995,                0.23814,                 0.3939,                0.37637,             0.00065957,             0.00065957,             0.00065957
